label,text
1,the neighbour has a few chairs outside their house. it's not blocking any path but it just looks very messy
1,"the neighbour always slams his gate and door very loudly, even when he reaches home very late at night, like around 11pm/midnight"
1,i am allergic to the plant that my neighbours are growing and always get rashes when i walk past
1,i am so sure that my neighbours are cutting off the flowers from my garden because i always find the flowers on the floorwhen the plant is fine the previous day
1,the flowers my neighbours are growing keeps making me sneeze everytime i walk past their house
1,My neighbor likes to keep his window open and he stares at me everytime I pass by his house
1,my neigbour looks at me funny and i get really angry when he does that
1,"my neighbour keeps side-eyeing me whenever i see him and close the door when i walk past, i don't even think it is unintentional"
1,"the neighbour family dog really hates me, it only barks at me and nobody else when we walk past"
1,the aunty living opposite of me constantly stands at her door and stares when i walk past. this really creeps me out
1,"i don't like the perfume that my neighbour uses, it is very smelly "
1,"everytime my neighbour fries fish, it is very smelly and the smell lingers on my curtains and clothes"
1,"my neighbour's voice is annoying, i don't like it when he speaks"
1,i am very sure that my neighbour is hiding something illegal in his cupboard outside of his door because it has so many padlocks on it
1,"i think my neighbour stole the umbrella that i hung outside my door to dry. when i tried asking her if she has seen it, she just denied"
1,my neighbour just sits at his door and stares at anyone who walks past. i feel very uncomfortable.
1,the children living on my level always play skip
1,my grandparents get angry when my neighbour plays japanese songs. we have tried asking them to stop but they won't listen.
1,my neighbour wears very revealing clothes which is extremely indecent and inappropriate 
1,"the neighbour above me has this family of children and every morning when we are rushing for work and school, they will hold the lift for very long to get their kids into the lift. i end up having to wait very long for the lift, and it's very annoying, especially when i need to get to work."
1,cooking smell v bad 
1,my neighbour says hi to me every morning and i don't like it
1,the teenager from the neighbour's family is dating a 40 year old man and i get very creeped out every time i see them together
1,my neighbour places anime stuff outside his house and i think it is super unsightly
1,the family living opposite hangs their laundry along the corridor and sometimes they hang their underwear. it is quite inappropriate
1,"my neighbour's singing voice is quite bad, she sings out of tune and it is off beat. it gets quite annoying listening to it."
1,"the neighbour's son is learning how to play the piano, he has been playing the same song over and over for months now. i can even hear it in my sleep nowadays."
1,why does the boy upstairs have to play the erhu? it is super noisy and i hate the sound it makes. 
1,my neighbour's family held a birthday party for their 1 year old son. this attracted a huge crowd of people to be at the void deck and i felt claustrophobic.
1,i do not like my neighbour's welcome mat which has a hello kitty on it. i hate hello kitty.
1,the neighbour couple makes my grandparents feel uncomfortable and i am not sure what to do. this is because they keep a huge collection of puppets at home.
1,"my neighbour always holds social gatherings at her house where she invites some neighbours over. however, doesn't invite me over. i am starting to think she does not like me."
1,"my son's classmate is our neighbour. at school, she always brags about how her parents pamper her. my son feels uncomfortable going home with her. "
1,"my neighbour is very rude, every time i try to greet him, he j curtly nods and hurries away"
1,this couple always talks very loudly to each other and scream across the corridor
1,"the grandfather living next to me always blast chinese news very loudly, and i don't dare to tell him to lower the volume as he is a generation older. i think i should just suck it up"
1,the helper next door always talks on the phone very loudly
1,my neighbour always PDA even in the lifts and I don't want my children to see such things
1,"the helper above me always sings to the baby, but i dont like the music "
1,"my neighbour always helps to clean and mop the whole corridor, which i am grateful for, but i dont like the detergent that he is using"
1,"every time i start practicing the piano, my neighbour will start playing his drums too and i can barely hear myself"
1,"my neighbour keeps giving me the desserts that he make, but they are not very nice. i dont know how to tell him nicely that i dont want them, so i have to keep accepting them and forcing myself to eat it"
1,"this teenager always dresses very scantily and it makes me very uncomfortable, and i do not want my children to grow up seeing such things"
1,"my neighbour always passes us hand me down, which i thought was useful last time, but now it's getting very annoying, and I feel like they are just throwing their junk at us"
1,my neighbour does meditation and has a lot of people visiting her house. i get very uncomfortable when there's always so many different people around 
1,"the neighbours on my level always try to talk to me every morning, but i'm usually very tired and don't feel like talking so it's very annyoing"
1,my neighbour always rings the doorbell very harshly
1,my neighbour used to be very friendly but has suddenly stopped talking to us
1,"my neighbour keeps sending his parcels to the wrong address, which is my address"
1,my neighbour said that my hairless cat looks like an alien
2,i am writing to express my concern over how my neighbour parks his roadbike in the middle of the corridor
2,the family living across my house always bring back the trolley from ntuc and block the path
2,My neighbour likes to leave huge cardboard boxes in the corridor near the lift lobby at level 1 instead of bringing it to the dustbin or recycle bin and i think it is irresponsible and it also is an obstruction to others
2,"This neighbour leaves his bicycles in the staircase landing right in front of the door of my house. For fengshui reasons, i rather not have something obstructing my door, and have told the neighbour to move it, but he insists that the area is a public area and he is allowed to leave it there."
2,"the neighbour opposite me sometimes don't close their gate, so it obstructs the walkway for me to get into my house"
2,"Almost constantly banging on their floor for no particular reason at all hours. I mean, I understand if you happen to be using a mortar and pestle or something, but there is definitely no acceptable reason for you to bang on your floor at 2am."
2,"my neighbour always shifts his furniture around, like chairs, and always drop things"
2,My neighbours staying above me kept dragging their furnitures around the house.
2,I hope the relevant authorities could look into this. The neighbour above me may have forgotten to turn off the tap. I kept getting the dripping sound from the pipes whole day and could last through the night.
2,"my upstairs neighbour called the police on me for practicing my piano at 9pm, when legally, I am allowed to practice till 10pm. I have told him before that he has no right to complain, and the police have also told him that, but he still comes down to tell us off."
2,"when my neighbour cooks, she always wants to pound her own ingredients, so when she pounds her chili, the noise is actually very irritating because it's incessant"
2,I often find unwanted brochures in the basket of my bicycle and i suspect my neighbour has been doing it
2,"the fallen leaves from my neighbour's potted plants often gets blown to my side of the corridor and they do not clean it up, it is dirty and disgusting"
2,my neighbour keeps throwing his flyers onto the floor
2,the neighbours seem to like sweeping their dirt out their doors so there's now stands of long hair in the corridor between our units and it's really unappealing.
2,"My neighbour been feeding food to stray cats. As we lived on the ground floor of the HDB, stray cats start appearing one after another. After feeding, the neighbour ur failed to clean up and food waste and poop were all over the floor. It started to smell and our family could get the stench from our living room and bedroom along the corridor."
2,i keep finding pieces of tissue paper outside of my house and i highly suspect it is the neighbour from two flats down
2,i always see my neighbour throw the wrong things into the recycling bin. e.g. plastic bag full of food or soft drink bottles. he clearly doesn't care about the environment.
2,I am suspecting that my neighbour throws sweet wrappers in the lift which attracts pests into the lift. Is there a way to check the cctv?
2,there are construction works going on every afternoon when my son is having his major exams which he needs a lot of concentration to study for.
2,my neighbours have been smoking in the corridor and the smoke gets into our house at night
2,their dog dashes out of the house unleashed and runs around the floor
2,my neighbour has a dog that barks loudly whenever we walk past their corridor and it scares my newborn baby
2,"We have been neighbours for 10 over years. And that’s how long the neighbour’s pet dog has been barking at every single person who walked past their unit. They never try to stop it from barking. And occasionally when their door was left opened, it dashed out to bark and trying to attack residents waiting for the lift."
